Frame,X,Y,Z,W,Timestamp
0,0.047912598,0.047912598,0.047912598,0.047912598,24833
1,0.047912598,0.047912598,0.047912598,0.047912598,24852
2,0.047851562,0.047851562,0.047851562,0.047851562,24860
3,0.047851562,0.047851562,0.047851562,0.047851562,24864
4,0.047851562,0.047851562,0.047851562,0.047851562,24873
5,0.047790527,0.047790527,0.047790527,0.047790527,24889
6,0.047790527,0.047790527,0.047790527,0.047790527,24901
7,0.047729492,0.047729492,0.047729492,0.047729492,24914
8,0.047729492,0.047729492,0.047729492,0.047729492,24959
9,0.047729492,0.047729492,0.047729492,0.047729492,24979
10,0.047729492,0.047729492,0.047729492,0.047729492,24983
11,0.047729492,0.047729492,0.047729492,0.047729492,24992
12,0.047729492,0.047729492,0.047729492,0.047729492,25011
13,0.047729492,0.047729492,0.047729492,0.047729492,25011
14,0.047729492,0.047729492,0.047729492,0.047729492,25020
15,0.047729492,0.047729492,0.047729492,0.047729492,25028
16,0.047668457,0.047668457,0.047668457,0.047668457,25040
17,0.047607422,0.047607422,0.047607422,0.047607422,25052
18,0.047546387,0.047546387,0.047546387,0.047546387,25061
19,0.047546387,0.047546387,0.047546387,0.047546387,25069
20,0.04748535,0.04748535,0.04748535,0.04748535,25082
21,0.04736328,0.04736328,0.04736328,0.04736328,25110
22,0.04724121,0.04724121,0.04724121,0.04724121,25167
23,0.04711914,0.04711914,0.04711914,0.04711914,25176
24,0.047058105,0.047058105,0.047058105,0.047058105,25184
25,0.04699707,0.04699707,0.04699707,0.04699707,25212
26,0.046936035,0.046936035,0.046936035,0.046936035,25221
27,0.046936035,0.046936035,0.046936035,0.046936035,25228
28,0.046875,0.046875,0.046875,0.046875,25266
29,0.046875,0.046875,0.046875,0.046875,25270
30,0.046813965,0.046813965,0.046813965,0.046813965,25278
31,0.046691895,0.046691895,0.046691895,0.046691895,25290
32,0.046569824,0.046569824,0.046569824,0.046569824,25299
33,0.046447754,0.046447754,0.046447754,0.046447754,25311
34,0.04638672,0.04638672,0.04638672,0.04638672,25319
35,0.046325684,0.046325684,0.046325684,0.046325684,25331
36,0.04626465,0.04626465,0.04626465,0.04626465,25344
37,0.04626465,0.04626465,0.04626465,0.04626465,25352
38,0.046325684,0.046325684,0.046325684,0.046325684,25360
39,0.04626465,0.04626465,0.04626465,0.04626465,25368
40,0.046203613,0.046203613,0.046203613,0.046203613,25381
41,0.046142578,0.046142578,0.046142578,0.046142578,25389
42,0.046081543,0.046081543,0.046081543,0.046081543,25401
43,0.046081543,0.046081543,0.046081543,0.046081543,25409
44,0.046081543,0.046081543,0.046081543,0.046081543,25422
45,0.046081543,0.046081543,0.046081543,0.046081543,25430
46,0.046203613,0.046203613,0.046203613,0.046203613,25438
47,0.04626465,0.04626465,0.04626465,0.04626465,25450
48,0.046325684,0.046325684,0.046325684,0.046325684,25458
49,0.046325684,0.046325684,0.046325684,0.046325684,25470
50,0.046325684,0.046325684,0.046325684,0.046325684,25483
51,0.04626465,0.04626465,0.04626465,0.04626465,25490
52,0.046203613,0.046203613,0.046203613,0.046203613,25499
53,0.046203613,0.046203613,0.046203613,0.046203613,25512
54,0.046203613,0.046203613,0.046203613,0.046203613,25519
55,0.046203613,0.046203613,0.046203613,0.046203613,25528
56,0.046203613,0.046203613,0.046203613,0.046203613,25540
57,0.046203613,0.046203613,0.046203613,0.046203613,25561
58,0.046203613,0.046203613,0.046203613,0.046203613,25573
59,0.046142578,0.046142578,0.046142578,0.046142578,25577
60,0.046081543,0.046081543,0.046081543,0.046081543,25581
61,0.046020508,0.046020508,0.046020508,0.046020508,25590
62,0.045959473,0.045959473,0.045959473,0.045959473,25597
63,0.045898438,0.045898438,0.045898438,0.045898438,25610
64,0.045837402,0.045837402,0.045837402,0.045837402,25618
65,0.045776367,0.045776367,0.045776367,0.045776367,25630
66,0.046447754,0.046447754,0.046447754,0.046447754,25639
67,0.04840088,0.04840088,0.04840088,0.04840088,25663
68,0.051574707,0.051574707,0.051574707,0.051574707,25667
69,0.05493164,0.05493164,0.05493164,0.05493164,25672
70,0.057495117,0.057495117,0.057495117,0.057495117,25680
71,0.05810547,0.05810547,0.05810547,0.05810547,25696
72,0.058166504,0.058166504,0.058166504,0.058166504,25700
73,0.05859375,0.05859375,0.05859375,0.05859375,25708
74,0.0592041,0.0592041,0.0592041,0.0592041,25721
75,0.059692383,0.059692383,0.059692383,0.059692383,25729
76,0.059753418,0.059753418,0.059753418,0.059753418,25741
77,0.059753418,0.059753418,0.059753418,0.059753418,25749
78,0.059753418,0.059753418,0.059753418,0.059753418,25761
79,0.059753418,0.059753418,0.059753418,0.059753418,25770
80,0.059753418,0.059753418,0.059753418,0.059753418,25778
81,0.059753418,0.059753418,0.059753418,0.059753418,25790
82,0.059814453,0.059814453,0.059814453,0.059814453,25798
83,0.059814453,0.059814453,0.059814453,0.059814453,25815
84,0.059814453,0.059814453,0.059814453,0.059814453,25819
85,0.059814453,0.059814453,0.059814453,0.059814453,25831
86,0.059753418,0.059753418,0.059753418,0.059753418,25839
87,0.059692383,0.059692383,0.059692383,0.059692383,25851
88,0.060058594,0.060058594,0.060058594,0.060058594,25860
89,0.06304932,0.06304932,0.06304932,0.06304932,25868
90,0.06915283,0.06915283,0.06915283,0.06915283,25880
91,0.07696533,0.07696533,0.07696533,0.07696533,25889
92,0.085510254,0.085510254,0.085510254,0.085510254,25901
93,0.09399414,0.09399414,0.09399414,0.09399414,25909
94,0.10290527,0.10290527,0.10290527,0.10290527,25921
95,0.11206055,0.11206055,0.11206055,0.11206055,25929
96,0.12060547,0.12060547,0.12060547,0.12060547,25938
97,0.12799072,0.12799072,0.12799072,0.12799072,25950
98,0.13439941,0.13439941,0.13439941,0.13439941,25962
99,0.14068604,0.14068604,0.14068604,0.14068604,25970
100,0.14672852,0.14672852,0.14672852,0.14672852,25979
101,0.1519165,0.1519165,0.1519165,0.1519165,25991
102,0.15618896,0.15618896,0.15618896,0.15618896,25999
103,0.16033936,0.16033936,0.16033936,0.16033936,26011
104,0.1652832,0.1652832,0.1652832,0.1652832,26028
