Frame,X,Y,Z,W,Timestamp
0,-0.7571411,0.63256836,0.15539551,-0.049438477,127565
1,-0.7007446,0.5704346,0.3805542,-0.19677734,127860
2,-0.7000122,0.56677246,0.38604736,-0.19934082,127860
3,-0.6991577,0.5629883,0.39160156,-0.20202637,127872
4,-0.6982422,0.5592041,0.3972168,-0.20477295,127893
5,-0.6972046,0.5553589,0.4029541,-0.2076416,127897
6,-0.6960449,0.5515137,0.40863037,-0.21069336,127930
7,-0.6948242,0.5475464,0.41436768,-0.21386719,127942
8,-0.6934204,0.5435791,0.42010498,-0.21722412,127974
9,-0.6918335,0.53967285,0.42590332,-0.22070312,127987
10,-0.68811035,0.5319214,0.43762207,-0.22814941,128043
11,-0.6859741,0.5281372,0.44348145,-0.2321167,128081
12,-0.616272,0.4810791,0.5324707,-0.32440186,128122
13,-0.61395264,0.48114014,0.53308105,-0.32769775,128127
14,-0.6114502,0.4814453,0.5336914,-0.33093262,128139
15,-0.6085205,0.4819336,0.5345459,-0.33422852,128142
16,-0.6053467,0.4822998,0.5354614,-0.33789062,128155
17,-0.6022949,0.4822998,0.5361328,-0.3423462,128163
18,-0.59906006,0.4819336,0.5368042,-0.3474121,128171
19,-0.59552,0.48114014,0.5376587,-0.3531494,128180
20,-0.59173584,0.47943115,0.5396118,-0.35894775,128192
21,-0.5860596,0.4790039,0.54071045,-0.3670044,128200
22,-0.5796509,0.48095703,0.54071045,-0.37457275,128212
23,-0.5740967,0.48376465,0.5401001,-0.3803711,128237
24,-0.57147217,0.48461914,0.53826904,-0.38568115,128241
25,-0.56707764,0.48553467,0.54016113,-0.38848877,128245
26,-0.5574341,0.4892578,0.54681396,-0.38848877,128253
27,-0.5467529,0.4953003,0.5512085,-0.38970947,128287
28,-0.5442505,0.49871826,0.5460205,-0.39611816,128291
29,-0.5488281,0.49505615,0.538147,-0.40515137,128303
30,-0.54937744,0.49102783,0.53674316,-0.41101074,128311
31,-0.5437012,0.49090576,0.5405884,-0.4136963,128335
32,-0.53692627,0.49157715,0.5444946,-0.41662598,128339
33,-0.53234863,0.49053955,0.5453491,-0.42260742,128356
34,-0.5303345,0.48754883,0.5429077,-0.4315796,128360
35,-0.5284424,0.48425293,0.54107666,-0.43988037,128385
36,-0.5249634,0.48181152,0.5415039,-0.44610596,128393
37,-0.5213623,0.479187,0.5425415,-0.4519043,128405
38,-0.51831055,0.47546387,0.54351807,-0.45812988,128429
39,-0.515625,0.47045898,0.5446167,-0.46496582,128434
40,-0.51312256,0.4645996,0.5459595,-0.47198486,128442
41,-0.51086426,0.4580078,0.5477905,-0.47869873,128454
42,-0.5088501,0.45111084,0.5498657,-0.4850464,128462
43,-0.50738525,0.44403076,0.5519409,-0.4906006,128470
44,-0.50634766,0.43725586,0.5543213,-0.4951172,128482
45,-0.5055542,0.43078613,0.5571289,-0.4984131,128496
46,-0.50494385,0.4244995,0.5601196,-0.50109863,128499
47,-0.50408936,0.4187622,0.5633545,-0.5031738,128511
48,-0.5029907,0.41363525,0.5668335,-0.50457764,128544
49,-0.5015869,0.40899658,0.5704956,-0.50561523,128553
50,-0.5,0.4046631,0.5743408,-0.5062866,128561
51,-0.4921875,0.3885498,0.59155273,-0.50683594,128676
52,-0.48937988,0.38653564,0.59576416,-0.5061035,128709
53,-0.48394775,0.3850708,0.602417,-0.5045166,128778
54,-0.48132324,0.3847046,0.6050415,-0.50427246,128807
55,-0.47857666,0.38433838,0.60723877,-0.50457764,128810
56,-0.475708,0.38409424,0.6090088,-0.505249,128815
57,-0.44830322,0.40563965,0.63427734,-0.48181152,128999
58,-0.4484253,0.40637207,0.6341553,-0.48132324,129011
59,-0.44854736,0.40698242,0.6340332,-0.48083496,129036
60,-0.44885254,0.4072876,0.63391113,-0.4804077,129048
61,-0.45043945,0.4064331,0.63616943,-0.47668457,129199
62,-0.45129395,0.40582275,0.6365967,-0.47576904,129212
63,-0.45202637,0.40533447,0.63726807,-0.47460938,129220
64,-0.4524536,0.40496826,0.6380615,-0.47338867,129224
65,-0.45263672,0.4046631,0.6390381,-0.472229,129273
66,-0.46063232,0.3908081,0.64105225,-0.4734497,129322
67,-0.46228027,0.38745117,0.63842773,-0.47808838,129539
