Frame,X,Y,Z,W,Timestamp
0,-0.44519043,0.44830322,0.5032959,-0.5895996,117674
1,-0.44702148,0.4453125,0.5007324,-0.5925293,117690
2,-0.44885254,0.44250488,0.49829102,-0.5953369,117698
3,-0.4505005,0.4401245,0.49621582,-0.5975952,117698
4,-0.45184326,0.43792725,0.49468994,-0.59942627,117710
5,-0.4529419,0.43597412,0.4935913,-0.60095215,117718
6,-0.45361328,0.4345703,0.49316406,-0.60180664,117730
7,-0.4545288,0.43328857,0.4925537,-0.60253906,117738
8,-0.4557495,0.43255615,0.49157715,-0.6029053,117751
9,-0.4569702,0.43206787,0.49072266,-0.6030884,117763
10,-0.4578247,0.43164062,0.49017334,-0.6031494,117775
11,-0.458313,0.4312744,0.4901123,-0.6030884,117779
12,-0.4584961,0.43060303,0.4907837,-0.6029053,117793
13,-0.45855713,0.42956543,0.4921875,-0.602478,117800
14,-0.45843506,0.42858887,0.49414062,-0.6016846,117821
15,-0.45812988,0.4277954,0.4961548,-0.60076904,117825
16,-0.45776367,0.42749023,0.49768066,-0.6000366,117837
17,-0.45715332,0.4276123,0.49853516,-0.5996704,117858
18,-0.4564209,0.4282837,0.49871826,-0.5996704,117862
19,-0.45587158,0.42858887,0.49926758,-0.59936523,117870
20,-0.45220947,0.43249512,0.5038452,-0.59552,118075
21,-0.45196533,0.43322754,0.505188,-0.59399414,118075
22,-0.45184326,0.43389893,0.50653076,-0.59246826,118095
23,-0.45178223,0.43450928,0.50775146,-0.5910034,118100
24,-0.45166016,0.43585205,0.5098877,-0.5883179,118140
25,-0.4515381,0.43658447,0.51049805,-0.5872803,118145
26,-0.45135498,0.43743896,0.51086426,-0.5864868,118169
27,-0.45111084,0.4383545,0.51104736,-0.5858154,118173
28,-0.45080566,0.4393921,0.5111084,-0.5852051,118181
29,-0.45056152,0.44049072,0.5111084,-0.5845947,118202
30,-0.45037842,0.44158936,0.5111084,-0.58392334,118210
31,-0.42285156,0.47021484,0.5473633,-0.54815674,118427
32,-0.42211914,0.4711914,0.5487671,-0.54644775,118444
33,-0.42144775,0.47229004,0.5501709,-0.5446167,118464
34,-0.4208374,0.47357178,0.55145264,-0.5426636,118472
35,-0.42034912,0.47491455,0.55267334,-0.5406494,118481
36,-0.41986084,0.47631836,0.553833,-0.53863525,118493
37,-0.41931152,0.4776001,0.5550537,-0.5366821,118505
38,-0.4185791,0.4788208,0.55633545,-0.53479004,118510
39,-0.4179077,0.4800415,0.5576172,-0.53289795,118521
40,-0.4171753,0.48132324,0.55877686,-0.5310669,118529
41,-0.4165039,0.48266602,0.5598755,-0.52923584,118542
42,-0.41589355,0.48406982,0.56085205,-0.5274048,118554
43,-0.4152832,0.4854126,0.56188965,-0.52557373,118559
44,-0.41485596,0.48675537,0.5626221,-0.5238037,118571
45,-0.41448975,0.48828125,0.56329346,-0.5220337,118579
46,-0.4140625,0.4899292,0.56396484,-0.52008057,118591
47,-0.4136963,0.49157715,0.56469727,-0.5180664,118604
48,-0.4133911,0.493042,0.5654907,-0.5159302,118628
49,-0.41326904,0.49438477,0.5661011,-0.51416016,118632
50,-0.46209717,0.44818115,0.44940186,-0.6194458,118866
51,-0.45922852,0.4475708,0.44934082,-0.62194824,118891
52,-0.45446777,0.44934082,0.45166016,-0.6225586,118898
53,-0.4491577,0.45220947,0.45739746,-0.6201172,118903
54,-0.44366455,0.45318604,0.46765137,-0.6156616,118911
55,-0.43640137,0.4524536,0.4819336,-0.6104126,118919
56,-0.4267578,0.45147705,0.49798584,-0.6050415,118931
57,-0.4152832,0.4510498,0.51446533,-0.5994873,118940
58,-0.4019165,0.45117188,0.53186035,-0.59332275,118952
59,-0.38745117,0.45233154,0.5487671,-0.5866699,118963
60,-0.37219238,0.4552002,0.5649414,-0.5788574,118980
61,-0.35546875,0.45977783,0.5817871,-0.56903076,118984
62,-0.33721924,0.46600342,0.598999,-0.55700684,118993
63,-0.3180542,0.47332764,0.61517334,-0.5444336,119001
