Frame,X,Y,Z,W,Timestamp
0,-0.050598145,0.06359863,-0.062805176,0.99468994,50155
1,-0.0491333,0.06524658,-0.059814453,0.994812,50161
2,-0.047607422,0.06732178,-0.056640625,0.9949341,50169
3,-0.046691895,0.070373535,-0.05529785,0.99487305,50206
4,-0.04559326,0.07348633,-0.05682373,0.9946289,50218
5,-0.04321289,0.07562256,-0.060791016,0.99432373,50222
6,-0.040283203,0.07714844,-0.06744385,0.9938965,50230
7,-0.038146973,0.07745361,-0.07519531,0.9934082,50234
8,-0.036621094,0.07684326,-0.08239746,0.9929199,50239
9,-0.035583496,0.076293945,-0.08831787,0.9924927,50251
10,-0.03515625,0.076171875,-0.09283447,0.99212646,50264
11,-0.03527832,0.07684326,-0.095825195,0.99176025,50272
12,-0.03552246,0.07800293,-0.09753418,0.9915161,50280
13,-0.0357666,0.0793457,-0.098083496,0.991333,50292
14,-0.036071777,0.08068848,-0.09814453,0.99121094,50303
15,-0.03656006,0.08166504,-0.09838867,0.99108887,50312
16,-0.037231445,0.082214355,-0.0993042,0.99090576,50320
17,-0.037719727,0.08270264,-0.10089111,0.99072266,50328
18,-0.037963867,0.08325195,-0.10308838,0.9904175,50341
19,-0.038146973,0.083984375,-0.10546875,0.9901123,50353
20,-0.03857422,0.08477783,-0.10784912,0.9897461,50361
21,-0.03930664,0.08581543,-0.11010742,0.9893799,50370
22,-0.040283203,0.0869751,-0.11230469,0.9890137,50382
23,-0.041259766,0.088378906,-0.11413574,0.98864746,50391
24,-0.042236328,0.08984375,-0.115478516,0.98828125,50402
25,-0.04333496,0.09112549,-0.11639404,0.9880371,50411
26,-0.044555664,0.09210205,-0.117126465,0.98779297,50419
27,-0.045837402,0.09277344,-0.11791992,0.98760986,50432
28,-0.04711914,0.09295654,-0.11883545,0.98742676,50439
29,-0.04852295,0.09265137,-0.11981201,0.98724365,50451
30,-0.049987793,0.091796875,-0.121032715,0.9871216,50460
31,-0.051513672,0.0904541,-0.122558594,0.9869385,50472
32,-0.052856445,0.08886719,-0.12426758,0.9868164,50481
33,-0.053771973,0.08728027,-0.12609863,0.98669434,50493
34,-0.05432129,0.085876465,-0.12756348,0.98657227,50501
35,-0.0546875,0.08459473,-0.12817383,0.98657227,50509
36,-0.054992676,0.08331299,-0.12792969,0.98669434,50522
37,-0.055358887,0.08190918,-0.1270752,0.9869385,50530
38,-0.055419922,0.08001709,-0.1260376,0.98724365,50542
39,-0.05505371,0.07745361,-0.12530518,0.9875488,50554
40,-0.054382324,0.074401855,-0.124938965,0.987854,50562
41,-0.053527832,0.07128906,-0.12487793,0.9881592,50570
42,-0.052490234,0.068603516,-0.12487793,0.9884033,50583
43,-0.05126953,0.06628418,-0.12463379,0.98864746,50591
44,-0.049926758,0.064453125,-0.12414551,0.9888916,50599
45,-0.048461914,0.06298828,-0.12322998,0.98913574,50611
46,-0.044433594,0.06072998,-0.11895752,0.98999023,50690
47,-0.043151855,0.0602417,-0.117492676,0.9902954,50698
48,-0.041870117,0.059692383,-0.1161499,0.99053955,50710
49,-0.04058838,0.059265137,-0.114990234,0.99072266,50718
50,-0.03930664,0.058898926,-0.11413574,0.99090576,50722
51,-0.038024902,0.05871582,-0.11352539,0.99102783,50734
52,-0.03668213,0.05859375,-0.11303711,0.9911499,50742
53,-0.03527832,0.05822754,-0.11254883,0.991272,50751
