Frame,X,Y,Z,W,Timestamp
0,-0.39788818,0.44519043,0.5809326,-0.5531616,152399
1,-0.397583,0.4463501,0.58203125,-0.55126953,152440
2,-0.4744873,0.4678955,0.48114014,-0.5695801,152497
3,-0.4794922,0.46447754,0.4708252,-0.5767822,152506
4,-0.4845581,0.45941162,0.46105957,-0.5844116,152510
5,-0.48968506,0.45300293,0.45214844,-0.59210205,152514
6,-0.4946289,0.44665527,0.4434204,-0.59942627,152522
7,-0.49884033,0.44110107,0.43450928,-0.60650635,152534
8,-0.5019531,0.43652344,0.4258423,-0.6133423,152546
9,-0.503479,0.43273926,0.41760254,-0.62042236,152555
10,-0.5023804,0.42993164,0.41015625,-0.6281738,152563
11,-0.5001831,0.4258423,0.40386963,-0.63671875,152571
12,-0.49920654,0.41888428,0.395813,-0.6470337,152584
13,-0.4989624,0.4102173,0.38531494,-0.6589966,152592
14,-0.4989624,0.4015503,0.37408447,-0.67071533,152608
15,-0.49945068,0.39257812,0.36279297,-0.6817627,152624
16,-0.5004883,0.38269043,0.35131836,-0.6925659,152628
17,-0.2692871,-0.7550049,0.32507324,-0.50183105,153198
18,-0.2783203,-0.77545166,0.32910156,-0.46148682,153210
19,-0.28723145,-0.7941284,0.33361816,-0.41900635,153218
20,-0.29577637,-0.810791,0.3383789,-0.37512207,153222
21,-0.30371094,-0.8251343,0.3433838,-0.33026123,153234
22,-0.31079102,-0.83703613,0.34942627,-0.28424072,153245
23,-0.3171997,-0.8461914,0.3564453,-0.23730469,153255
24,-0.32305908,-0.852417,0.36468506,-0.18981934,153263
25,-0.32928467,-0.85528564,0.3739624,-0.14221191,153276
26,-0.33599854,-0.8548584,0.38397217,-0.0947876,153284
27,-0.34313965,-0.8512573,0.39422607,-0.047912598,153292
28,-0.35083008,-0.84484863,0.40393066,-0.0015869141,153304
29,-0.35876465,-0.8361206,0.41271973,0.044067383,153312
30,-0.36663818,-0.82507324,0.4206543,0.08917236,153325
31,-0.3743286,-0.8117676,0.42791748,0.13342285,153337
32,-0.38165283,-0.7963867,0.43450928,0.17712402,153348
33,-0.38812256,-0.7786865,0.44055176,0.22113037,153358
34,-0.39416504,-0.7581787,0.44732666,0.26416016,153366
35,-0.39941406,-0.7352905,0.45489502,0.3048706,153374
36,-0.40777588,-0.6828613,0.4703369,0.38238525,153435
37,-0.4124756,-0.6225586,0.48706055,0.45281982,153509
38,-0.21392822,0.42132568,0.725647,0.50006104,153517
39,-0.20037842,0.44921875,0.7284546,0.47680664,153525
