Frame,X,Y,Z,W,Timestamp
0,-0.49938965,-0.6001587,0.4234619,0.45947266,120950620
1,-0.49938965,-0.6001587,0.4234619,0.45947266,120950620
2,-0.4991455,-0.60028076,0.4230957,0.4598999,120959756
3,-0.4991455,-0.60028076,0.4230957,0.4598999,120959756
4,-0.4991455,-0.60028076,0.4230957,0.4598999,120959756
5,-0.49908447,-0.60028076,0.4227295,0.4602661,120968900
6,-0.49908447,-0.60028076,0.4227295,0.4602661,120968900
7,-0.49908447,-0.60028076,0.4227295,0.4602661,120968900
8,-0.49920654,-0.6002197,0.42236328,0.46063232,120981672
9,-0.49920654,-0.6002197,0.42236328,0.46063232,120981672
10,-0.49945068,-0.6000366,0.4220581,0.4609375,120990816
11,-0.49945068,-0.6000366,0.4220581,0.4609375,120990816
12,-0.49945068,-0.6000366,0.4220581,0.4609375,120990816
13,-0.49969482,-0.5997925,0.4216919,0.46124268,120999952
14,-0.49969482,-0.5997925,0.4216919,0.46124268,120999952
15,-0.49969482,-0.5997925,0.4216919,0.46124268,120999952
16,-0.5,-0.5994873,0.42132568,0.46166992,121009080
17,-0.5,-0.5994873,0.42132568,0.46166992,121009080
18,-0.5001221,-0.5991821,0.42108154,0.4621582,121021856
19,-0.5001221,-0.5991821,0.42108154,0.4621582,121021856
20,-0.5001221,-0.5991821,0.42108154,0.4621582,121021856
21,-0.50006104,-0.598938,0.42095947,0.46264648,121030992
22,-0.50006104,-0.598938,0.42095947,0.46264648,121030992
23,-0.50006104,-0.598938,0.42095947,0.46264648,121030992
24,-0.4998169,-0.59869385,0.42095947,0.46313477,121040128
25,-0.4998169,-0.59869385,0.42095947,0.46313477,121040128
26,-0.4998169,-0.59869385,0.42095947,0.46313477,121040128
27,-0.49945068,-0.59851074,0.4212036,0.46362305,121049268
28,-0.49945068,-0.59851074,0.4212036,0.46362305,121049268
29,-0.49902344,-0.59832764,0.4215088,0.46398926,121058456
30,-0.49902344,-0.59832764,0.4215088,0.46398926,121058456
31,-0.49902344,-0.59832764,0.4215088,0.46398926,121058456
32,-0.49847412,-0.5982666,0.421875,0.46429443,121071228
33,-0.49847412,-0.5982666,0.421875,0.46429443,121071228
34,-0.49847412,-0.5982666,0.421875,0.46429443,121071228
35,-0.4968872,-0.59851074,0.42279053,0.4649048,121089512
36,-0.4968872,-0.59851074,0.42279053,0.4649048,121089512
37,-0.4968872,-0.59851074,0.42279053,0.4649048,121089512
38,-0.49578857,-0.59887695,0.42321777,0.46520996,121098652
39,-0.49578857,-0.59887695,0.42321777,0.46520996,121098652
40,-0.49578857,-0.59887695,0.42321777,0.46520996,121098652
41,-0.4946289,-0.59936523,0.42364502,0.46551514,121111368
42,-0.4946289,-0.59936523,0.42364502,0.46551514,121111368
43,-0.4946289,-0.59936523,0.42364502,0.46551514,121111368
44,-0.49334717,-0.59991455,0.4239502,0.4658203,121120508
45,-0.49334717,-0.59991455,0.4239502,0.4658203,121120508
46,-0.49334717,-0.59991455,0.4239502,0.4658203,121120508
47,-0.48706055,-0.6035156,0.42559814,0.46624756,121160660
48,-0.48706055,-0.6035156,0.42559814,0.46624756,121160660
49,-0.48706055,-0.6035156,0.42559814,0.46624756,121160660
50,-0.48547363,-0.6043091,0.4260254,0.46655273,121169800
51,-0.4835205,-0.6052246,0.4267578,0.46673584,121178976
52,-0.4835205,-0.6052246,0.4267578,0.46673584,121178976
53,-0.48132324,-0.60632324,0.42755127,0.46679688,121191756
54,-0.48132324,-0.60632324,0.42755127,0.46679688,121191756
55,-0.48132324,-0.60632324,0.42755127,0.46679688,121191756
56,-0.479187,-0.60754395,0.4282837,0.46679688,121200888
57,-0.479187,-0.60754395,0.4282837,0.46679688,121200888
58,-0.479187,-0.60754395,0.4282837,0.46679688,121200888
59,-0.47564697,-0.6094971,0.42926025,0.46691895,121219164
60,-0.47564697,-0.6094971,0.42926025,0.46691895,121219164
61,-0.47564697,-0.6094971,0.42926025,0.46691895,121219164
62,-0.4741211,-0.6104126,0.4296875,0.46691895,121231936
63,-0.4741211,-0.6104126,0.4296875,0.46691895,121231936
64,-0.47253418,-0.61138916,0.43029785,0.4666748,121241080
65,-0.47253418,-0.61138916,0.43029785,0.4666748,121241080
66,-0.47253418,-0.61138916,0.43029785,0.4666748,121241080
67,-0.47088623,-0.6124878,0.4309082,0.4663086,121250216
68,-0.47088623,-0.6124878,0.4309082,0.4663086,121250216
69,-0.47088623,-0.6124878,0.4309082,0.4663086,121250216
70,-0.46929932,-0.61364746,0.4315796,0.46575928,121259356
71,-0.46929932,-0.61364746,0.4315796,0.46575928,121259356
72,-0.46929932,-0.61364746,0.4315796,0.46575928,121259356
73,-0.4677124,-0.61486816,0.43225098,0.46514893,121272072
74,-0.4677124,-0.61486816,0.43225098,0.46514893,121272072
75,-0.4677124,-0.61486816,0.43225098,0.46514893,121272072
76,-0.46606445,-0.61608887,0.4329834,0.46453857,121281216
77,-0.46606445,-0.61608887,0.4329834,0.46453857,121281216
78,-0.46606445,-0.61608887,0.4329834,0.46453857,121281216
79,-0.4644165,-0.6171875,0.43371582,0.46398926,121290360
80,-0.4644165,-0.6171875,0.43371582,0.46398926,121290360
81,-0.4644165,-0.6171875,0.43371582,0.46398926,121290360
82,-0.46105957,-0.61938477,0.4350586,0.46313477,121308648
83,-0.46105957,-0.61938477,0.4350586,0.46313477,121308648
84,-0.46105957,-0.61938477,0.4350586,0.46313477,121308648
85,-0.45941162,-0.62042236,0.43579102,0.46270752,121321372
86,-0.45941162,-0.62042236,0.43579102,0.46270752,121321372
87,-0.45941162,-0.62042236,0.43579102,0.46270752,121321372
88,-0.45776367,-0.6213989,0.4366455,0.46228027,121330504
89,-0.45776367,-0.6213989,0.4366455,0.46228027,121330504
90,-0.45776367,-0.6213989,0.4366455,0.46228027,121330504
91,-0.4562378,-0.6222534,0.4375,0.46185303,121339644
92,-0.4562378,-0.6222534,0.4375,0.46185303,121339644
93,-0.4562378,-0.6222534,0.4375,0.46185303,121339644
94,-0.45483398,-0.62298584,0.43823242,0.46148682,121348792
95,-0.45483398,-0.62298584,0.43823242,0.46148682,121348792
96,-0.45483398,-0.62298584,0.43823242,0.46148682,121348792
97,-0.45343018,-0.62371826,0.43896484,0.46124268,121361516
98,-0.45343018,-0.62371826,0.43896484,0.46124268,121361516
99,-0.45343018,-0.62371826,0.43896484,0.46124268,121361516
100,-0.45184326,-0.6244507,0.43969727,0.46105957,121369248
101,-0.45184326,-0.6244507,0.43969727,0.46105957,121369248
102,-0.45184326,-0.6244507,0.43969727,0.46105957,121369248
103,-0.45013428,-0.6251831,0.44055176,0.4609375,121381980
104,-0.45013428,-0.6251831,0.44055176,0.4609375,121381980
105,-0.45013428,-0.6251831,0.44055176,0.4609375,121381980
106,-0.4484253,-0.62579346,0.4414673,0.46087646,121391120
107,-0.4484253,-0.62579346,0.4414673,0.46087646,121391120
108,-0.4484253,-0.62579346,0.4414673,0.46087646,121391120
109,-0.4467163,-0.62628174,0.44244385,0.4609375,121399548
110,-0.4467163,-0.62628174,0.44244385,0.4609375,121399548
111,-0.44506836,-0.62677,0.44335938,0.4609375,121410400
112,-0.44506836,-0.62677,0.44335938,0.4609375,121410400
113,-0.44506836,-0.62677,0.44335938,0.4609375,121410400
114,-0.4434204,-0.62731934,0.44421387,0.46099854,121419548
115,-0.4434204,-0.62731934,0.44421387,0.46099854,121419548
116,-0.4434204,-0.62731934,0.44421387,0.46099854,121419548
117,-0.44158936,-0.62805176,0.4451294,0.46087646,121432328
118,-0.43945312,-0.6290283,0.44610596,0.46063232,121440096
119,-0.4348755,-0.63165283,0.44763184,0.45996094,121461856
