Frame,X,Y,Z,W,Timestamp
0,-0.46862793,0.42523193,0.48510742,-0.60357666,160328
1,-0.45214844,0.42236328,0.49047852,-0.6137085,160611
2,-0.45043945,0.42382812,0.49169922,-0.61291504,160660
3,-0.44970703,0.4244995,0.4923706,-0.6124878,160690
4,-0.4489746,0.42510986,0.49310303,-0.6119995,160697
5,-0.44818115,0.42565918,0.4937744,-0.6116333,160706
6,-0.44744873,0.42626953,0.4944458,-0.6112671,160718
7,-0.4465332,0.42687988,0.4953003,-0.6107788,160747
8,-0.41436768,0.43920898,0.53948975,-0.586792,160755
9,-0.41314697,0.4395752,0.54119873,-0.5858154,160767
10,-0.41174316,0.43988037,0.5429077,-0.58496094,160779
11,-0.4104004,0.44030762,0.5444336,-0.5841675,160784
12,-0.4091797,0.44085693,0.5459595,-0.58325195,160792
13,-0.40808105,0.44152832,0.5473633,-0.5821533,160816
14,-0.40716553,0.4421997,0.5488281,-0.5809326,160821
15,-0.4064331,0.44281006,0.550354,-0.5794678,160824
16,-0.40582275,0.44348145,0.5519409,-0.5779419,160837
17,-0.40533447,0.44421387,0.5533447,-0.576355,160851
18,-0.40509033,0.44476318,0.55462646,-0.5748291,160857
19,-0.4048462,0.44537354,0.5559082,-0.5732422,160865
20,-0.40478516,0.44604492,0.5571289,-0.5716553,160873
21,-0.40496826,0.4465332,0.55822754,-0.57006836,160882
22,-0.4055786,0.44702148,0.559021,-0.56848145,160895
23,-0.4066162,0.4475708,0.5593872,-0.56695557,160906
24,-0.40808105,0.44812012,0.5593872,-0.5654907,160918
25,-0.4099121,0.44866943,0.559021,-0.5640259,160939
26,-0.41192627,0.44940186,0.55841064,-0.5626221,160968
27,-0.41400146,0.4501953,0.5576782,-0.5611572,160972
28,-0.41638184,0.4508667,0.55670166,-0.5598755,160980
29,-0.41906738,0.45129395,0.5549927,-0.5592041,160984
30,-0.4222412,0.4519043,0.55236816,-0.55895996,161005
31,-0.42578125,0.4529419,0.5491333,-0.5585327,161017
32,-0.4296875,0.4541626,0.545166,-0.5584717,161025
33,-0.43414307,0.45507812,0.539978,-0.5593262,161041
34,-0.43884277,0.4555664,0.5338135,-0.5611572,161045
35,-0.44317627,0.45587158,0.5274658,-0.5635376,161054
36,-0.44696045,0.45599365,0.52111816,-0.56640625,161062
37,-0.4501953,0.45593262,0.51519775,-0.56921387,161078
38,-0.45361328,0.45550537,0.50994873,-0.57159424,161087
39,-0.45812988,0.4541626,0.503479,-0.57476807,161095
40,-0.46343994,0.45184326,0.4954834,-0.57928467,161107
41,-0.4683838,0.4491577,0.4874878,-0.5841675,161116
42,-0.4724121,0.44610596,0.48034668,-0.58917236,161128
43,-0.47558594,0.44256592,0.47399902,-0.59436035,161136
44,-0.47747803,0.43914795,0.46899414,-0.59936523,161144
45,-0.47772217,0.4360962,0.46557617,-0.6040039,161152
46,-0.47668457,0.43310547,0.4623413,-0.6094971,161165
47,-0.47528076,0.43084717,0.45770264,-0.6156006,161173
48,-0.47381592,0.43084717,0.45288086,-0.6203003,161185
49,-0.47460938,0.42974854,0.45013428,-0.6224365,161194
50,-0.4763794,0.4277954,0.44763184,-0.6242676,161205
51,-0.47808838,0.4257202,0.44592285,-0.62561035,161217
52,-0.4784546,0.4243164,0.44537354,-0.62664795,161222
53,-0.477417,0.42352295,0.44555664,-0.62786865,161234
54,-0.47564697,0.4229126,0.44628906,-0.62908936,161243
55,-0.4725952,0.42340088,0.4484253,-0.6295166,161254
56,-0.46704102,0.42492676,0.4541626,-0.62854004,161266
57,-0.45776367,0.42663574,0.463562,-0.6273804,161275
58,-0.4442749,0.428833,0.47576904,-0.6264038,161284
59,-0.4276123,0.43164062,0.4901123,-0.625,161295
60,-0.40856934,0.43408203,0.5062866,-0.62316895,161308
61,-0.38580322,0.43511963,0.5251465,-0.62127686,161316
62,-0.359375,0.43634033,0.5442505,-0.61987305,161324
63,-0.3310547,0.4389038,0.5630493,-0.6170044,161336
64,-0.3008423,0.44317627,0.58203125,-0.6118164,161349
65,-0.26739502,0.44781494,0.6008911,-0.60565186,161373
66,-0.23016357,0.4510498,0.61846924,-0.60095215,161381
67,0.11187744,0.46813965,0.6737671,-0.56066895,161635
68,0.16485596,0.46801758,0.66973877,-0.5524292,161665
69,0.8531494,0.23779297,-0.30126953,-0.35327148,161783
70,0.83483887,0.21612549,-0.36206055,-0.35388184,161796
71,0.81085205,0.19274902,-0.4230957,-0.3554077,161804
72,0.7810669,0.16790771,-0.48376465,-0.35742188,161815
73,0.7454834,0.14190674,-0.5432739,-0.35906982,161824
74,0.7047119,0.115112305,-0.60058594,-0.3597412,161832
75,0.6593628,0.0871582,-0.65460205,-0.359375,161844
76,0.6097412,0.057556152,-0.70440674,-0.35876465,161857
77,0.5560303,0.026855469,-0.7494507,-0.35839844,161865
78,0.49822998,-0.0044555664,-0.78948975,-0.35845947,161873
