Frame,X,Y,Z,W,Timestamp
0,-0.44006348,0.45428467,0.54248047,-0.5529175,134082
1,-0.4389038,0.4547119,0.5437622,-0.55218506,134131
2,-0.43829346,0.45495605,0.5444336,-0.5518799,134137
3,-0.4376831,0.45507812,0.54504395,-0.5515747,134139
4,-0.43707275,0.4552002,0.54559326,-0.55145264,134172
5,-0.43658447,0.45526123,0.54608154,-0.55133057,134184
6,-0.43615723,0.4552002,0.54644775,-0.55133057,134192
7,-0.43579102,0.45513916,0.5466919,-0.5513916,134200
8,-0.4356079,0.4550171,0.546875,-0.5515137,134212
9,-0.4354248,0.45489502,0.54693604,-0.55163574,134221
10,-0.43536377,0.45477295,0.5469971,-0.55181885,134229
11,-0.4352417,0.45465088,0.5469971,-0.5519409,134241
12,-0.4350586,0.45465088,0.5470581,-0.55200195,134254
13,-0.4348755,0.45458984,0.54711914,-0.552124,134262
14,-0.43469238,0.45446777,0.5471802,-0.5523071,134274
15,-0.43450928,0.4543457,0.54730225,-0.55249023,134282
16,-0.43432617,0.4541626,0.5473633,-0.5527344,134294
17,-0.43414307,0.4539795,0.5474243,-0.5529785,134302
18,-0.434021,0.4537964,0.5473633,-0.5532837,134311
19,-0.434021,0.4534912,0.54711914,-0.55371094,134319
20,-0.43414307,0.45318604,0.54681396,-0.5541992,134332
21,-0.43408203,0.45288086,0.5466919,-0.55462646,134340
22,-0.43341064,0.4529419,0.5471802,-0.5545654,134352
23,-0.4331665,0.45288086,0.54711914,-0.55493164,134364
24,-0.4333496,0.45251465,0.5466919,-0.55548096,134372
25,-0.4335327,0.45214844,0.5462036,-0.5560913,134384
26,-0.4335327,0.4519043,0.54589844,-0.5565796,134393
27,-0.43341064,0.4517212,0.54577637,-0.55700684,134409
28,-0.43322754,0.45135498,0.5456543,-0.55755615,134430
29,-0.45080566,0.4671631,0.5012207,-0.57214355,134512
30,-0.4519043,0.46887207,0.5001221,-0.5708008,134528
31,-0.4529419,0.47052002,0.49938965,-0.56921387,134533
32,-0.4541626,0.47161865,0.49890137,-0.56781006,134544
33,-0.45562744,0.47198486,0.49816895,-0.56695557,134548
34,-0.4572754,0.4716797,0.4970703,-0.5668335,134553
35,-0.4588623,0.4711914,0.49572754,-0.5671387,134565
36,-0.4602661,0.47070312,0.49414062,-0.56781006,134573
37,-0.46148682,0.47009277,0.49267578,-0.5686035,134582
38,-0.4621582,0.4696045,0.49169922,-0.5692749,134590
39,-0.46270752,0.46905518,0.4907837,-0.5701294,134602
40,-0.46331787,0.4683838,0.48962402,-0.571167,134614
41,-0.46380615,0.46795654,0.48864746,-0.57196045,134623
42,-0.46417236,0.46765137,0.48773193,-0.5726929,134631
43,-0.4647827,0.4671631,0.48669434,-0.5734863,134643
44,-0.46569824,0.46655273,0.48565674,-0.5741577,134652
45,-0.4666748,0.46588135,0.4850464,-0.5743408,134663
46,-0.46765137,0.46514893,0.48480225,-0.57440186,134672
47,-0.46862793,0.46417236,0.4847412,-0.5743408,134697
48,-0.4696045,0.46313477,0.4850464,-0.57421875,134701
49,-0.47039795,0.46209717,0.4855957,-0.5739136,134705
50,-0.4710083,0.4611206,0.48632812,-0.5736084,134713
51,-0.47143555,0.46002197,0.48724365,-0.57336426,134733
52,-0.47180176,0.45880127,0.48809814,-0.5733032,134742
53,-0.47265625,0.4560547,0.48980713,-0.5733032,134794
54,-0.47314453,0.45446777,0.49053955,-0.57354736,134828
55,-0.4734497,0.4527588,0.49108887,-0.5740967,134832
56,-0.47369385,0.44885254,0.4918213,-0.57647705,134910
57,-0.47387695,0.4475708,0.49163818,-0.5774536,134914
58,-0.473938,0.44647217,0.4915161,-0.5783081,134922
59,-0.473938,0.44555664,0.49157715,-0.5789795,134930
60,-0.47387695,0.44470215,0.49194336,-0.57940674,134946
61,-0.47375488,0.4439087,0.49249268,-0.57958984,134958
62,-0.4736328,0.44311523,0.49328613,-0.5796509,134963
63,-0.47351074,0.44244385,0.4942627,-0.5794678,134975
64,-0.47338867,0.4414673,0.49609375,-0.57873535,135024
65,-0.47338867,0.44128418,0.49700928,-0.57806396,135057
66,-0.4449463,0.46697998,0.5397339,-0.5409546,135241
67,-0.44311523,0.46820068,0.54174805,-0.5393677,135253
68,-0.44140625,0.46936035,0.5437622,-0.53778076,135278
69,-0.43969727,0.47039795,0.54571533,-0.5363159,135282
70,-0.43792725,0.47143555,0.54766846,-0.5348511,135294
71,-0.43621826,0.4724121,0.54956055,-0.53338623,135306
72,-0.4345703,0.4734497,0.5513916,-0.5319824,135335
73,-0.43292236,0.47442627,0.5531616,-0.5305786,135339
74,-0.43139648,0.47540283,0.5548706,-0.5291748,135339
75,-0.4298706,0.47631836,0.55651855,-0.52783203,135376
76,-0.42840576,0.4772339,0.55804443,-0.5265503,135384
77,-0.42700195,0.4781494,0.5595703,-0.52526855,135393
78,-0.42559814,0.4790039,0.56103516,-0.52404785,135422
79,-0.4243164,0.47979736,0.5623779,-0.5228882,135426
80,-0.42303467,0.48059082,0.5637207,-0.5218506,135433
81,-0.421875,0.48132324,0.56481934,-0.520874,135442
82,-0.4208374,0.48205566,0.5657959,-0.52001953,135450
83,-0.4199829,0.48266602,0.56658936,-0.5192871,135463
84,-0.4192505,0.4831543,0.5671387,-0.5187988,135471
85,-0.41864014,0.48358154,0.5675049,-0.51849365,135482
86,-0.41815186,0.48388672,0.567688,-0.5184326,135495
87,-0.4179077,0.48406982,0.5675659,-0.5186157,135503
88,-0.4179077,0.48406982,0.5671387,-0.51904297,135511
89,-0.41796875,0.48406982,0.56658936,-0.5195923,135520
90,-0.4177246,0.48431396,0.5662842,-0.51989746,135532
91,-0.41796875,0.48425293,0.56536865,-0.52075195,135545
92,-0.4189453,0.48364258,0.56359863,-0.52246094,135552
93,-0.4204712,0.48266602,0.5611572,-0.52471924,135561
94,-0.42218018,0.48162842,0.5582886,-0.5274048,135573
95,-0.4237671,0.48046875,0.55511475,-0.5305176,135581
96,-0.42541504,0.4790039,0.5515137,-0.5342407,135593
97,-0.42730713,0.47729492,0.54748535,-0.5383911,135601
98,-0.42926025,0.47558594,0.5430298,-0.5428467,135614
99,-0.4310913,0.4741211,0.5383301,-0.5473633,135622
100,-0.4326172,0.4730835,0.5336304,-0.55163574,135631
101,-0.43371582,0.47235107,0.52941895,-0.5554199,135642
102,-0.43450928,0.4716797,0.52593994,-0.5587158,135657
103,-0.4352417,0.47076416,0.52319336,-0.5614624,135663
104,-0.4359131,0.46954346,0.5211792,-0.56378174,135675
105,-0.4364624,0.46862793,0.5194092,-0.56585693,135684
106,-0.43701172,0.4677124,0.517334,-0.5680542,135699
107,-0.43737793,0.4661255,0.5155029,-0.5706787,135708
108,-0.43737793,0.46411133,0.51397705,-0.57373047,135716
109,-0.43688965,0.46276855,0.51293945,-0.57611084,135721
110,-0.4360962,0.4621582,0.51220703,-0.5778198,135732
111,-0.43536377,0.46203613,0.5114746,-0.57910156,135741
112,-0.43493652,0.4619751,0.51049805,-0.58032227,135753
113,-0.43499756,0.46173096,0.50909424,-0.5817261,135762
114,-0.43548584,0.46124268,0.5072632,-0.583313,135770
115,-0.43640137,0.46051025,0.5054321,-0.58483887,135782
