Frame,X,Y,Z,W,Timestamp
99,-0.7932739,-0.5638428,0.11383057,0.19958496,160612828
100,-0.7891846,-0.5704346,0.113342285,0.1973877,160622828
101,-0.7850342,-0.57702637,0.11279297,0.19506836,160632852
102,-0.7809448,-0.58343506,0.11218262,0.19274902,160642856
103,-0.7770386,-0.5895386,0.11151123,0.19042969,160652884
104,-0.77337646,-0.59521484,0.11090088,0.18811035,160662888
105,-0.7698364,-0.600647,0.11029053,0.18579102,160672912
106,-0.7663574,-0.605896,0.10961914,0.18347168,160682916
107,-0.7628784,-0.611084,0.10876465,0.18115234,160692932
108,-0.7595215,-0.6161499,0.107788086,0.17877197,160702940
109,-0.7561035,-0.6212158,0.10662842,0.17633057,160712952
110,-0.75286865,-0.62609863,0.105163574,0.17376709,160722964
111,-0.74975586,-0.63079834,0.103515625,0.17114258,160732968
112,-0.7468872,-0.63531494,0.1015625,0.16821289,160742988
113,-0.74432373,-0.63946533,0.099243164,0.16516113,160752992
114,-0.74194336,-0.6433716,0.09674072,0.1619873,160763004
115,-0.73968506,-0.6472168,0.09399414,0.15875244,160773020
116,-0.73742676,-0.65093994,0.09112549,0.15557861,160783036
117,-0.7352905,-0.65448,0.088256836,0.15252686,160793032
118,-0.7331543,-0.657959,0.08538818,0.14971924,160803040
119,-0.73095703,-0.6613159,0.0826416,0.14709473,160813052
120,-0.72888184,-0.6644287,0.080078125,0.14459229,160823064
121,-0.72698975,-0.6672363,0.077697754,0.14239502,160833072
122,-0.72528076,-0.6697998,0.07556152,0.14038086,160843080
123,-0.7235718,-0.6721802,0.073791504,0.13867188,160853088
124,-0.7217407,-0.6746216,0.07244873,0.13720703,160863104
125,-0.7197876,-0.677063,0.07141113,0.13598633,160873116
126,-0.71759033,-0.67962646,0.07080078,0.1350708,160883120
127,-0.7151489,-0.68237305,0.070617676,0.13439941,160893136
128,-0.7124634,-0.68518066,0.07104492,0.13397217,160903140
129,-0.7097168,-0.68792725,0.07196045,0.1338501,160913140
130,-0.7069092,-0.6906738,0.07354736,0.13397217,160923168
131,-0.7040405,-0.6932373,0.07574463,0.13427734,160933160
132,-0.7011719,-0.69573975,0.07836914,0.13494873,160943176
133,-0.6983032,-0.6980591,0.08148193,0.13604736,160953184
134,-0.6954346,-0.70025635,0.0848999,0.13739014,160963200
135,-0.6925659,-0.70233154,0.08868408,0.13909912,160973208
